артикул;название;марка;категория;цена;магазин;цс;удаленный_склад;европа;применяемость;описание
11427586926;Фильтр масляный двигателя;BMW;Фильтры;1890;24;3;0;1;G20|G21|G80|G81|G42;Оригинальный масляный фильтр BMW для рядных 4- и 6-цилиндровых двигателей B48/B58. Поставляется в заводской упаковке дилера.
13718605073;Фильтр воздушный;BMW;Фильтры;2460;0;18;0;0;G20|G80|G81|G22;Оригинальный воздушный фильтр BMW. Сохраняет паспортный расход воздуха и защищает турбину B58.
64119264974;Фильтр салона угольный;BMW;Фильтры;3210;0;0;31;0;G20|G21|G80|G81|G22|G23;Салонный фильтр с активированным углём. Рекомендуется замена каждые 15 000 км.
34116864752;Колодки тормозные передние;BMW;Тормозная система;14790;0;0;0;8;G80|G81|G82;Оригинальный комплект передних колодок M Performance для BMW M3/M4, включая Touring G81.
34216864754;Колодки тормозные задние;BMW;Тормозная система;9890;6;0;0;0;G80|G81|G82;Задние тормозные колодки BMW M. Сохраняют расчётный баланс тормозных сил оси.
34116885801;Диск тормозной передний вентилируемый;BMW;Тормозная система;21400;0;4;0;0;G80|G81;Оригинальный передний тормозной диск BMW M Compound. Продаётся поштучно.
83212365951;Моторное масло 0W-30 TwinPower Turbo 1 л;BMW;Масла и жидкости;1490;0;0;86;0;B48|B58|S58;Оригинальное синтетическое масло BMW Longlife-12 FE. Канистра 1 литр.
12120037607;Свеча зажигания;BMW;Двигатель;1890;0;0;0;40;B58|S58|G81;Иридиевая свеча зажигания BMW. Меняется комплектом на все цилиндры.
11618511364;Патрубок интеркулера;BMW;Двигатель;8760;1;0;0;0;G80|G81;Оригинальный патрубок системы наддува. Срок поставки из Европы — 5–8 рабочих дней.
51138073091;Эмблема капота;BMW;Кузов;4290;0;12;0;1;G20|G80|G81;Оригинальная круглая эмблема BMW на капот. Крепление на клипсах.
31356785915;Рычаг передней подвески нижний левый;BMW;Подвеска;18900;0;0;3;0;G20|G21|G80|G81;Нижний поперечный рычаг BMW с сайлентблоками. Оригинал Lemförder / BMW.
A0001802609;Фильтр масляный;Mercedes-Benz;Фильтры;2140;2;0;0;27;W463|W464|G63|M177;Оригинальный масляный фильтр Mercedes-Benz для двигателей M177/M178, включая G63 AMG.
A1770940004;Фильтр воздушный;Mercedes-Benz;Фильтры;3890;11;0;0;0;W464|G63|GT63;Воздушный фильтр Mercedes-AMG. Повышенная площадь фильтрующего элемента.
A0004205800;Колодки тормозные передние;Mercedes-Benz;Тормозная система;16890;0;7;0;0;W464|G63;Передние колодки Mercedes-AMG для G-Class. Комплект на ось, с датчиками износа.
A4644210000;Диск тормозной передний;Mercedes-Benz;Тормозная система;28600;0;0;2;0;W464|G63;Вентилируемый перфорированный диск Mercedes-AMG G63. Продаётся поштучно.
A000989830113;Моторное масло 0W-40 AMG 1 л;Mercedes-Benz;Масла и жидкости;1790;0;0;0;54;M177|M178|M256;Оригинальное масло Mercedes-AMG 0W-40, допуск MB 229.5. Канистра 1 литр.
A0009058904;Свеча зажигания;Mercedes-Benz;Двигатель;2340;32;0;0;0;M177|G63;Свеча зажигания Mercedes-AMG. Для двигателя V8 битурбо G63 требуется 8 штук.
A4643200100;Амортизатор передний;Mercedes-Benz;Подвеска;54200;1;0;0;0;W464|G63;Оригинальный передний амортизатор Mercedes-Benz G-Class. Поставка из Европы 7–12 дней.
A4648800100;Решётка радиатора AMG;Mercedes-Benz;Кузов;67800;0;0;1;1;W464|G63;Оригинальная вертикальная решётка Mercedes-AMG G63 с эмблемой звезды.
A2118300818;Фильтр салона;Mercedes-Benz;Фильтры;2680;0;0;0;19;W205|W213|W464;Комбинированный салонный фильтр Mercedes-Benz с антиаллергенным слоем.
06K115562B;Фильтр масляный;Audi;Фильтры;1320;22;0;0;0;EA888|B9|C8|8Y;Оригинальный масляный фильтр VAG для двигателей EA888 gen.3/gen.4.
8W0129620;Фильтр воздушный;Audi;Фильтры;2180;0;14;0;0;B9|A4|A5|Q5;Воздушный фильтр Audi оригинальный. Подходит для A4/A5/Q5 поколения B9.
8W0698151K;Колодки тормозные передние;Audi;Тормозная система;9780;2;0;9;0;B9|A4|A5;Передние тормозные колодки Audi. Комплект на ось, с датчиком износа.
8W0615301K;Диск тормозной передний;Audi;Тормозная система;11240;0;0;0;5;B9|A4|A5;Вентилируемый тормозной диск Audi. Продаётся поштучно, рекомендуется замена парой.
06L905601B;Катушка зажигания;Audi;Электрика;4890;16;0;0;0;EA888|B9|C8;Оригинальная катушка зажигания Audi/VW. Для 2.0 TFSI требуется 4 штуки.
G052195M4;Моторное масло 0W-20 LongLife IV 1 л;Audi;Масла и жидкости;1290;0;40;0;0;EA888 gen.4|VW 508 00;Оригинальное масло VAG 0W-20 LongLife IV. Допуск VW 508 00 / 509 00.
